"x"
"accident"	7
"advertise"	1
"afternoon"	8
"allergy"	7
"apartment"	3
"arrive"	8
"Asian"	4
"athlete"	4
"baby"	8
"bacon"	2
"banana"	7
"baseball"	1
"basketball"	1
"bath"	7
"bear as in animal"	7
"bear as in tolerate"	6
"bored"	3
"busy"	5
"calculus"	2
"cash register"	8
"child"	3
"church"	5
"cold"	2
"college"	8
"crowd"	4
"depend"	5
"desert"	6
"doctor"	8
"dolphin"	5
"don't like"	3
"dormitory"	6
"drink"	6
"early"	5
"engineer"	5
"firefighter"	3
"food"	6
"french fries"	3
"Friday"	3
"frustrate"	5
"girlfriend"	5
"green"	3
"hill"	3
"home"	6
"hospital"	3
"hot"	6
"hotel"	5
"humble"	5
"hurt"	2
"inside"	8
"internet"	7
"introduce"	7
"jail"	7
"jeans"	1
"jog"	1
"jump"	8
"lake"	4
"laugh"	6
"laundry"	7
"learn"	8
"left"	3
"library"	3
"license"	2
"long time ago"	3
"mad"	6
"makeup"	2
"manage"	1
"mean as in average"	8
"mean as in cruel"	4
"mean as in meaning"	8
"morning"	5
"movie"	5
"music"	8
"overalls"	7
"paper"	8
"pea"	5
"plum"	7
"poetry"	8
"psychology"	8
"raspberry"	7
"river"	1
"rollerblade"	1
"sandal"	5
"sandwich"	5
"secretary"	8
"senior"	8
"shoes"	2
"sick"	7
"single"	6
"skateboard"	8
"skirt"	1
"smart"	3
"stupid"	3
"teenager"	3
"tennis"	3
"thank you"	6
"tiger"	6
"toothbrush"	6
"vote"	8
"wrench"	1
"young"	7
