"V1"	"V2"
"accident"	-0.115039373531209	-0.0907744729447119
"advertise"	-0.120918899864752	0.0567119716623956
"afternoon"	-0.109864347859242	0.0816575449115232
"allergy"	-0.117947943797708	-0.13428504213798
"apartment"	-0.0501346873024539	-0.0252002154332795
"arrive"	-0.11810935197714	0.00342524285439805
"Asian"	-0.108058166284099	-0.0222900858994227
"athlete"	-0.11726217920849	-0.00821649023242906
"baby"	-0.11258646461769	0.104898538047118
"bacon"	-0.0967080633606018	-0.0277702598192772
"banana"	-0.10858438352354	0.0350931507101018
"baseball"	-0.107308660226422	0.00346035622991484
"basketball"	-0.125472330469642	0.0180347323285251
"bath"	-0.119397676538129	-0.0508355029567593
"bear as in animal"	-0.11602224219611	-0.0860875496656219
"bear as in tolerate"	-0.0517763622166255	-0.182698978144146
"bored"	-0.0444937020666259	-0.092762363719632
"busy"	-0.116906572183772	0.0778991778340648
"calculus"	-0.115796231572152	0.0371407864470992
"cash register"	-0.122706865234895	0.110035293306154
"child"	-0.061366904177797	0.0570726006853421
"church"	-0.117602203782311	0.118007744495707
"cold"	-0.11942362477121	0.039749086663233
"college"	-0.118018303586362	0.139182590788211
"crowd"	-0.118424027141963	0.0476825361386485
"depend"	-0.119981530823457	0.113663452893224
"desert"	-0.066618653261612	-0.0564563651391007
"doctor"	-0.092205456062	0.0432848041478408
"dolphin"	-0.109122798906587	0.0659371873856128
"don't like"	-0.0615780278469289	-0.0337657367649266
"dormitory"	-0.0532874016634422	-0.206194446027797
"drink"	-0.0498577898149345	-0.157701428825184
"early"	-0.0989250091505867	0.0119662755166084
"engineer"	-0.110950774953364	0.0612306226747694
"firefighter"	-0.0475478258634428	-0.0728092124118292
"food"	-0.053178746097243	-0.211574657924176
"french fries"	-0.0631333917720443	0.00421139502370449
"Friday"	-0.0528713461956775	-0.00281187385486877
"frustrate"	-0.10672835179376	-0.144383543303915
"girlfriend"	-0.118657384052901	0.0103828269530183
"green"	-0.0591153637573578	-0.0309960383832743
"hill"	-0.0586913873531574	0.0401411021577772
"home"	-0.0555493394553124	-0.228109473290006
"hospital"	-0.0493421428375721	-0.111145446290129
"hot"	-0.0531220844214426	-0.188487335662833
"hotel"	-0.113720449603563	0.00602196093892714
"humble"	-0.129545874668011	-0.0396473206997495
"hurt"	-0.111037370446613	-0.0265577096152035
"inside"	-0.104913376138474	0.0571319765925917
"internet"	-0.111037149408786	0.0407981879852653
"introduce"	-0.109919768139944	0.0202129685460013
"jail"	-0.0961601520492099	-0.154910078733385
"jeans"	-0.115256840390918	0.069327384192248
"jog"	-0.112259047046344	-0.0240090982032983
"jump"	-0.115972036821183	0.159079965787356
"lake"	-0.0989360563386159	-0.0596956394213421
"laugh"	-0.0957901906065267	-0.222740924861578
"laundry"	-0.120688194236002	0.0572256904763458
"learn"	-0.119305296989632	0.0688155297609676
"left"	-0.0595598221320542	-0.00233099193900835
"library"	-0.0533402427275226	-0.0271425049784779
"license"	-0.115532759455542	0.0447298532227896
"long time ago"	-0.0494124363996996	-0.0837910040771846
"mad"	-0.0530001737373395	-0.17946026803193
"makeup"	-0.0912484173625647	-0.183732521484362
"manage"	-0.106366238832993	-0.0386025261294805
"mean as in average"	-0.124692145478272	0.0979271144450312
"mean as in cruel"	-0.131283374264044	-0.0174168109968039
"mean as in meaning"	-0.103039066702344	0.0851580288986119
"morning"	-0.107932490558586	0.00933719894039542
"movie"	-0.10687353230779	0.05086717753949
"music"	-0.121588609661765	0.0390133189449048
"overalls"	-0.100242738987449	-0.0254244898311157
"paper"	-0.111858961036101	0.0986470179257
"pea"	-0.122400643466223	0.142468334603853
"plum"	-0.107187850110392	-0.119282409739985
"poetry"	-0.0837614500467933	0.0525167267140167
"psychology"	-0.130485430671059	0.124636102341618
"raspberry"	-0.120461240815006	0.010649385701475
"river"	-0.120426329026236	-0.0302750851066876
"rollerblade"	-0.121552362614615	0.0727424096751043
"sandal"	-0.116731368353277	0.158417204579065
"sandwich"	-0.107375295197599	-0.18423161842448
"secretary"	-0.122636340916924	0.0972266420934439
"senior"	-0.109071338282029	0.068652397031388
"shoes"	-0.117096304087591	0.0345608031029321
"sick"	-0.10041488666304	-0.0736974500376973
"single"	-0.0509476719692964	-0.14103098329823
"skateboard"	-0.110994130699149	0.0580201660114396
"skirt"	-0.120304207793902	0.0522570694126316
"smart"	-0.0432905620705763	-0.0723975579554508
"stupid"	-0.0521278585501101	-0.165743881960625
"teenager"	-0.0488512427846295	-0.146523445744471
"tennis"	-0.0581134003873973	-0.0278337150350909
"thank you"	-0.0634136401693391	-0.204990634783617
"tiger"	-0.0956997595206946	-0.231387751294465
"toothbrush"	-0.0503448446847799	-0.129383288704981
"vote"	-0.115571236839551	0.0637731684440592
"wrench"	-0.104985259118356	-0.0163009237004851
"young"	-0.116251385368778	0.00775942088924771
